source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
,,,,,,,,,"Carios fonsecai M. B. Labruna & J. M. Venzal, 2009",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,fonsecai,,species,,"M. B. Labruna & J. M. Venzal, 2009",,,,,,Carios fonsecai
,,,,,,,,,Carios kelleyi Cooley & Kohls,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,kelleyi,,species,,Cooley & Kohls,,,,,,Carios kelleyi
,,,,,,,,,Carios rioplatensis ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,rioplatensis,,species,,,,,,,,Carios rioplatensis
,,,,,,,,,"Carios rondoniensis Labruna, 2007",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,rondoniensis,,species,,"Labruna, 2007",,,,,,Carios rondoniensis
,,,,,,,,,Carios vespertilionis ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,vespertilionis,,species,,,,,,,,Carios vespertilionis
,,,,,,,,,Ornithodoros acinus Whittick,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,acinus,,species,,Whittick,,,,,,Ornithodoros acinus
,,,,,,,,,"Ornithodoros afrimeropsis Hoogstraal, Keirans, Clifford & Van",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,afrimeropsis,,species,,"Hoogstraal, Keirans, Clifford & Van",,,,,,Ornithodoros afrimeropsis
,,,,,,,,,Ornithodoros alactagalis Issaakjan,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,alactagalis,,species,,Issaakjan,,,,,,Ornithodoros alactagalis
,,,,,,,,,Ornithodoros amblum Chamberlin,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,amblum,,species,,Chamberlin,,,,,,Ornithodoros amblum
,,,,,,,,,Ornithodoros amblus Chamberlain,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,amblus,,species,,Chamberlain,,,,,,Ornithodoros amblus
