"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","parkeri","","","COOLEY 1936","Ornithodoros parkeri"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","perengueyi","","","BEDFORD  HEWITT","Ornithodoros perengueyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","peropteryx","","","KOHLS  CLIFFORD  JONES","Ornithodoros peropteryx"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","peruvianus","","","KOHLS  CLIFFORD  JONES","Ornithodoros peruvianus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","peusi","","","(SCHULZE)","Ornithodoros peusi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","piriformis","","","WARBURTON","Ornithodoros piriformis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","porcinus","","porcinus","WALTON","Ornithodoros porcinus porcinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","porcinus","","","WALTON","Ornithodoros porcinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","puertoricensis","","","FOX","Ornithodoros puertoricensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","rennellensis","","","CLIFFORD  SONENSHINE","Ornithodoros rennellensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","reticulinsus","","","","Ornithodoros reticulinsus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","rossi","","","KOHLS  SONENSHINE  CLIFFORD","Ornithodoros rossi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","rostratus","","","ARAGAO","Ornithodoros rostratus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","rudis","","","KARSCH","Ornithodoros rudis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","salahi","","","HOOGSTRAAL 1953","Ornithodoros salahi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","savignyi","","","(AUDOUIN)","Ornithodoros savignyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","serrai","","","","Ornithodoros serrai"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","setosus","","","KOHLS  CLIFFORD  JONES","Ornithodoros setosus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","solomonis","","","DUMBLETON","Ornithodoros solomonis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","sonrai","","","","Ornithodoros sonrai"
