source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonicalName,acceptedTaxon,parentTaxon
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Lewis, 1971)",,Callopsylla mygala,Callopsylla mygala,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Jordan, 1937)",,Callopsylla oreinus,Callopsylla oreinus,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Tsai, Wu & Liu, 1974",,Callopsylla petaurista,Callopsylla petaurista,Callopsylla
Lewis,Animalia,Ceratophyllidae,Species,"Wang, Li & Cai, 1997",,Callopsylla qinghaiensis,Callopsylla qinghaiensis,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Ioff & Argyropulo, 1934)",,Callopsylla saxatilis,Callopsylla saxatilis,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Ioff, 1936)",,Callopsylla semenovi,Callopsylla semenovi,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Lewis, 1971)",,Callopsylla sparsilis atallahi,Callopsylla sparsilis atallahi,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Jordan & Rothschild, 1922)",,Callopsylla sparsilis sparsilis,Callopsylla sparsilis sparsilis,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Lewis, 1973",,Callopsylla streeti,Callopsylla streeti,Callopsylla
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"(Jordan, 1925)",,Callopsylla waterstoni,Callopsylla waterstoni,Callopsylla
Lewis,Animalia,Ceratophyllidae,Species,"Go & Ma, 1992",,Callopsylla xizngensis,Callopsylla xizngensis,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Wu, Guo & Liu, 1996",,Callopsylla xui,Callopsylla xui,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"ye & Jiang, 1990",,Callopsylla yui,Callopsylla yui,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Wu, Guo & Liu, 1996",,Callopsylla zhangi,Callopsylla zhangi,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Genus,"Wagner, 1934",,Callopsylla,Callopsylla,Ceratophyllinae
Lewis,Animalia,Ceratophyllidae,Species,"Kasiyev, 1966",,Ceratophyllus abramovi,Nosopsyllus abramovi,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Rothschild, 1905",,Ceratophyllus acasti,Opisodasys pseudarctomys,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Baker, 1904",,Ceratophyllus acutus,Nosopsyllus mokrzeckyi,Ceratophyllus
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"Jordan, 1932",,Ceratophyllus adustus,Ceratophyllus adustus,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Subspecies,"Ioff & Scalon, 1950",,Ceratophyllus advenarius bifallax,Megabothris advenarius advenarius,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Rothschild, 1905",,Ceratophyllus aeger,Orchopeas leucopus,Ceratophyllus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Nordberg, 1935",,Ceratophyllus affinis,Ceratophyllus affinis,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Jordan & Rothschild, 1922",,Ceratophyllus agathus,Macrostylophora levis,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,Rothschild 1904,,Ceratophyllus alladinis,Nosopsyllus alladinis,Ceratophyllus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Tipton & Mendez, 1966",,Ceratophyllus altus,Ceratophyllus altus,Ceratophyllus
"Lewis, GBIF",Animalia,Ceratophyllidae,Species,"Wahlgren, 1903",,Ceratophyllus angulatus,Ceratophyllus garei,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Jordan & Rothschild, 1921",,Ceratophyllus apollinaris,Plusaetis apollinaris,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Jordan & Rothschild, 1921",,Ceratophyllus arcotus,Nosopsyllus arcotus,Ceratophyllus
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"Holland, 1952",,Ceratophyllus arcuegens,Ceratophyllus arcuegens,Ceratophyllus
"Lewis, NMNH",Animalia,Ceratophyllidae,Species,"Rothschild, 1908",,Ceratophyllus argus,Monopsyllus argus,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Jordan & Rothschild, 1921",,Ceratophyllus argutus,Nosopsyllus argutus,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Subspecies,"Jordan, 1929",,Ceratophyllus arizonensis littoris,Thrassis arizonensis,Ceratophyllus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Ioff, 1946",,Ceratophyllus avicitelli,Ceratophyllus sinicus,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Ioff, 1928",,Ceratophyllus baikalensis,Megabothris rectangulatus,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Wagner, 1933",,Ceratophyllus bakeri,Aetheca thamba,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Rosicky, 1955",,Ceratophyllus balati,Ceratophyllus enefdeae enefdeae,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"C. Fox, 1927",,Ceratophyllus bertholfi,Oropsylla idahoensis,Ceratophyllus
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"Rothschild, 1907",,Ceratophyllus borealis,Ceratophyllus borealis,Ceratophyllus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Liu, Wu & Wu, 1966",,Ceratophyllus breviprojectus,Ceratophyllus olsufjevi,Ceratophyllus
"Lewis, GBIF",Animalia,Ceratophyllidae,Species,"Wagner, 1913",,Ceratophyllus calcarifer,Megabothris calcarifer,Ceratophyllus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Holland, 1979",,Ceratophyllus calderwoodi,Ceratophyllus calderwoodi,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Baker, 1904",,Ceratophyllus californicus,Nosopsyllus fasciatus,Ceratophyllus
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Jordan, 1937",,Ceratophyllus caliotes,Ceratophyllus caliotes,Ceratophyllus
Lewis,Animalia,Ceratophyllidae,Species,"Baker, 1904",,Ceratophyllus canadensis,Nosopsyllus fasciatus,Ceratophyllus
