rankID,sciname,scientificNameAuthorship,parentNameUsage,acceptedNameUsage,taxonRemarks,scientificName
220,capensis,,Aonyx,,,Aonyx capensis
220,cinereus,,Aonyx,,,Aonyx cinereus
220,congicus,,Aonyx,,,Aonyx congicus
140,Cebidae,,Primates,,,
180,Aotus,,Cebidae,,,
220,azarae,,Aotus,,,Aotus azarae
220,brumbacki,,Aotus,,,Aotus brumbacki
220,griseimembra,,Aotus,,,Aotus griseimembra
220,jorgehernandezi,,Aotus,,,Aotus jorgehernandezi
220,lemurinus,,Aotus,,,Aotus lemurinus
220,miconax,,Aotus,,,Aotus miconax
220,nancymaae,,Aotus,,,Aotus nancymaae
220,nigriceps,,Aotus,,,Aotus nigriceps
220,trivirgatus,,Aotus,,,Aotus trivirgatus
220,vociferans,,Aotus,,,Aotus vociferans
220,zonalis,,Aotus,,,Aotus zonalis
140,Aplodontiidae,,Rodentia,,,
180,Aplodontia,,Aplodontiidae,,,
220,rufa,,Aplodontia,,,Aplodontia rufa
180,Apodemus,,Muridae,,,
220,agrarius,,Apodemus,,,Apodemus agrarius
220,alpicola,,Apodemus,,,Apodemus alpicola
220,argenteus,,Apodemus,,,Apodemus argenteus
220,avicennicus,,Apodemus,,,Apodemus avicennicus
220,chevrieri,,Apodemus,,,Apodemus chevrieri
220,draco,,Apodemus,,,Apodemus draco
220,epimelas,,Apodemus,,,Apodemus epimelas
220,flavicollis,,Apodemus,,,Apodemus flavicollis
220,gurkha,,Apodemus,,,Apodemus gurkha
220,hyrcanicus,,Apodemus,,,Apodemus hyrcanicus
220,ilex,,Apodemus,,,Apodemus ilex
220,latronum,,Apodemus,,,Apodemus latronum
220,microps,,Apodemus,,,Apodemus microps
220,mystacinus,,Apodemus,,,Apodemus mystacinus
220,pallipes,,Apodemus,,,Apodemus pallipes
220,peninsulae,,Apodemus,,,Apodemus peninsulae
220,ponticus,,Apodemus,,,Apodemus ponticus
220,rusiges,,Apodemus,,,Apodemus rusiges
220,speciosus,,Apodemus,,,Apodemus speciosus
220,sylvaticus,,Apodemus,,,Apodemus sylvaticus
220,uralensis,,Apodemus,,,Apodemus uralensis
