source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
TPT_v1,54,,,,,,,,"Linognathus lewisi Bedford, 1934",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,lewisi,,species,,"Bedford, 1934",,,,,,Linognathus lewisi
TPT_v1,55,,,,,,,,"Linognathus limnotragi Cummings, 1913",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,limnotragi,,species,,"Cummings, 1913",,,,,,Linognathus limnotragi
TPT_v1,56,,,,,,,,"Linognathus nesotragi van der Merwe, 1968",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,nesotragi,,species,,"van der Merwe, 1968",,,,,,Linognathus nesotragi
TPT_v1,57,,,,,,,,"Linognathus nevilli Ledger, 1973",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,nevilli,,species,,"Ledger, 1973",,,,,,Linognathus nevilli
TPT_v1,58,,,,,,,,"Linognathus oryx Fiedler & Stampa, 1958",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,oryx,,species,,"Fiedler & Stampa, 1958",,,,,,Linognathus oryx
TPT_v1,59,,,,,,,,"Linognathus ourebiae Werneck, 1959",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,ourebiae,,species,,"Werneck, 1959",,,,,,Linognathus ourebiae
TPT_v1,60,,,,,,,,"Linognathus oviformis (Rudow, 1869)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,oviformis,,species,,"(Rudow, 1869)",,,,,,Linognathus oviformis
TPT_v1,61,,,,,,,,"Linognathus ovillus (Neumann, 1907)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,ovillus,,species,,"(Neumann, 1907)",,,,,,Linognathus ovillus
TPT_v1,62,,,,,,,,"Linognathus panamensis Ewing, 1927",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,panamensis,,species,,"Ewing, 1927",,,,,,Linognathus panamensis
TPT_v1,63,,,,,,,,"Linognathus pedalis (Osborn, 1896)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,pedalis,,species,,"(Osborn, 1896)",,,,,,Linognathus pedalis
TPT_v1,64,,,,,,,,"Linognathus peleus Bedford, 1936",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,peleus,,species,,"Bedford, 1936",,,,,,Linognathus peleus
TPT_v1,65,,,,,,,,"Linognathus petasmatus Ferris, 1951",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,petasmatus,,species,,"Ferris, 1951",,,,,,Linognathus petasmatus
TPT_v1,66,,,,,,,,"Linognathus pithodes Cummings, 1916",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,pithodes,,species,,"Cummings, 1916",,,,,,Linognathus pithodes
TPT_v1,67,,,,,,,,"Linognathus raphiceri Fiedler & Stampa, 1956",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,raphiceri,,species,,"Fiedler & Stampa, 1956",,,,,,Linognathus raphiceri
TPT_v1,68,,,,,,,,"Linognathus reduncae Fiedler & Stampa, 1956",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,reduncae,,species,,"Fiedler & Stampa, 1956",,,,,,Linognathus reduncae
TPT_v1,69,,,,,,,,"Linognathus saccatus (Gervais, 1845)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,saccatus,,species,,"(Gervais, 1845)",,,,,,Linognathus saccatus
TPT_v1,70,,,,,,,,"Linognathus sosninae Ozerova, 1989",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,sosninae,,species,,"Ozerova, 1989",,,,,,Linognathus sosninae
TPT_v1,71,,,,,,,,"Linognathus stenopsis (Burmeister, 1838)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,stenopsis,,species,,"(Burmeister, 1838)",,,,,,Linognathus stenopsis
TPT_v1,72,,,,,,,,"Linognathus spicatus Ferris, 1932",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,spicatus,,species,,"Ferris, 1932",,,,,,Linognathus spicatus
TPT_v1,73,,,,,,,,"Linognathus taeniotrichus Werneck, 1937",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,taeniotrichus,,species,,"Werneck, 1937",,,,,,Linognathus taeniotrichus
TPT_v1,74,,,,,,,,"Linognathus taurotragus Bedford, 1927",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,taurotragus,,species,,"Bedford, 1927",,,,,,Linognathus taurotragus
