source,rankID,scientificNameID,acceptedNameUsageID,parentNameUsage,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,220,,,Accipiter,,,,,Accipiter imitator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter luteoschistaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter madagascariensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter melanochlamys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,melanochlamys,,,,,Accipiter melanochlamys melanochlamys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,melanochlamys,,,,,Accipiter melanochlamys schistacinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter melanoleucus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,melanoleucus,,,,,Accipiter melanoleucus melanoleucus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,melanoleucus,,,,,Accipiter melanoleucus temminckii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter meyerianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter minullus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
