"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","BOLIVIENSIS","","","KOHLS  CLIFFORD 1964","Ornithodoros boliviensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","BRASILIENSIS","","","ARAGAO","Ornithodoros brasiliensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","BRODYI","","","MATHESON","Ornithodoros brodyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CANESTRINI","","","(BIRULA)","Ornithodoros canestrini"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CANESTRINII","","","(BIRULA)","Ornithodoros canestrinii"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CAPENSIS","","","NEUMANN","Ornithodoros capensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CASEBEERI","","","JONES  CLIFFORD","Ornithodoros casebeeri"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CHIRONECTES","","","JONES  CLIFFORD","Ornithodoros chironectes"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CHIROPTERPHILA","","","DHANDA  RAJAGOPALAN","Ornithodoros chiropterphila"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CLARKI","","","JONES  CLIFFORD","Ornithodoros clarki"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","COLLOCALIAE","","","HOOGSTRAAL  KADARSAN  KAISER  VAN PEENEN 1974","Ornithodoros collocaliae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","COMPACTUS","","","WALTON","Ornithodoros compactus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CONCANENSIS","","","COOLEY  KOHLS 1941","Ornithodoros concanensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CONICEPS","","","CANESTRINI","Ornithodoros coniceps"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","COOLEYI","","","MCIVOR","Ornithodoros cooleyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","CORIACEUS","","","KOCH","Ornithodoros coriaceus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","DARWINI","","","KOHLS  CLIFFORD  HOOGSTRAAL","Ornithodoros darwini"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","DELANCEI","","ACINUS","WHITTICK","Ornithodoros delancei acinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","DELANOEI","","DELANOEI","ROUBAUD  COLAS-BELCOUR","Ornithodoros delanoei delanoei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","DELANOEI","","","ROUBAUD  COLAS-BELCOUR","Ornithodoros delanoei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","DEMRKI","","","KOHLS  SONENSHINE  CLIFFORD","Ornithodoros demrki"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","DUGESI","","","MAZZOTTI","Ornithodoros dugesi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","DUSBABEKI","","","CERNY","Ornithodoros dusbabeki"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","DYERI","","","COOLEY  KOHLS","Ornithodoros dyeri"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","EBORIS","","","THEILER","Ornithodoros eboris"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ECHIMYS","","","KOHLS  CLIFFORD  JONES","Ornithodoros echimys"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ELONGATUS","","","KOHLS  SONENSHINE  CLIFFORD","Ornithodoros elongatus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","EPTESICUS","","","KOHLS  CLIFFORD  JONES","Ornithodoros eptesicus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","EREMICUS","","","COOLEY  KOHLS 1941","Ornithodoros eremicus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ERRATICUS","","","(Lucas, 1849)","Ornithodoros erraticus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","FAINI","","","HOOGSTRAAL 1960","Ornithodoros faini"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","FOLEYI","","","PARROT","Ornithodoros foleyi"
