source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonical,acceptedTaxon,parentTaxon
TPT_v1,Animalia,Philopteridae,Species,,,Naubates heteroproctus,Naubates heteroproctus,Naubates
TPT_v1,Animalia,Philopteridae,Species," Taschenberg, 1882",,Naubates testaceus,Naubates testaceus,Naubates
TPT_v1,Animalia,Philopteridae,Species,,,Naubates fuliginosus,Naubates fuliginosus,Naubates
TPT_v1,Animalia,Philopteridae,Species," Kellogg & Chapman, 1899",,Naubates major,Naubates major,Naubates
TPT_v1,Animalia,Philopteridae,Species," Gurlt, 1842",,Anaticola anseris,Anaticola anseris,Anaticola
TPT_v1,Animalia,Philopteridae,Species," Wundrig, 1936",,Anaticola anseris,Anaticola anseris,Anaticola
TPT_v1,Animalia,Philopteridae,Subspecies," Wundrig, 1936",,Anaticola anseris domestici,Anaticola anseris domestici,Anaticola
TPT_v1,Animalia,Philopteridae,Subspecies," Eichler, 1980",,Anaticola anseris polonicus,Anaticola anseris polonicus,Anaticola
TPT_v1,Animalia,Philopteridae,Species,1917,,Anaticola bishoppi,Anaticola bishoppi,Anaticola
TPT_v1,Animalia,Philopteridae,Species," Nitzsch, 1818",,Anaticola jejunus,Anaticola jejunus,Anaticola
TPT_v1,Animalia,Philopteridae,Species," Nitzsch, 1866",,Anaticola serratus,Anaticola serratus,Anaticola
TPT_v1,Animalia,Trichodectidae,Species," Dobroruka, 1975",,Damalinia sika,Damalinia sika,Damalinia
TPT_v1,Animalia,Trichodectidae,Species, Keler 1938,,Damalinia tibialis,Damalinia tibialis,Damalinia
TPT_v1,Animalia,Menoponidae,Species," Fabricius, 1775",,Cuculiphilus cuculi,Cuculiphilus cuculi,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species," Giebel, 1861",,Cuculiphilus phanerostigma,Cuculiphilus phanerostigma,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species," Nitzsch, 1818",,Cuculiphilus phanerostigmaton,Cuculiphilus phanerostigmaton,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species,,,Cuculiphilus fasciatum,Cuculiphilus fasciatum,Cuculiphilus
TPT_v1,Animalia,Trichodectidae,Species,,,Damalinia crenelatus,Damalinia crenelatus,Damalinia
TPT_v1,Animalia,Trichodectidae,Species,,,Damalinia crenelata,Damalinia crenelata,Damalinia
TPT_v1,Animalia,Menoponidae,Species," Uchida, 1926",,Cuculiphilus coromandus,Cuculiphilus coromandus,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species," Qadri, 1935",,Cuculiphilus centropi,Cuculiphilus centropi,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species," Kellogg & Kuwana, 1902",,Cuculiphilus galapagensis,Cuculiphilus galapagensis,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species," Ansari, 1951",,Cuculiphilus pupiya,Cuculiphilus pupiya,Cuculiphilus
TPT_v1,Animalia,Trichodectidae,Species," Ferris, 1930",,Dasyonyx lindfieldi,Dasyonyx lindfieldi,Dasyonyx
TPT_v1,Animalia,Trichodectidae,Species," Bedford, 1932",,Dasyonyx validus,Dasyonyx validus,Dasyonyx
TPT_v1,Animalia,Trichodectidae,Species," Werneck, 1941",,Dasyonyx hopkinsi,Dasyonyx hopkinsi,Dasyonyx
TPT_v1,Animalia,Trichodectidae,Species," Bedford, 1936",,Dasyonyx windhuki,Dasyonyx windhuki,Dasyonyx
TPT_v1,Animalia,Menoponidae,Species," Piaget, 1880",,Cuculiphilus interpolatum,Cuculiphilus interpolatum,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species,,,Cuculiphilus platygaster,Cuculiphilus platygaster,Cuculiphilus
TPT_v1,Animalia,Philopteridae,Species," Nitzsch, 1874",,Anatoecus adustus,Anatoecus adustus,Anatoecus
TPT_v1,Animalia,Philopteridae,Species," Giebel, 1874",,Anatoecus bipunctatus,Anatoecus bipunctatus,Anatoecus
TPT_v1,Animalia,Philopteridae,Species," Giebel, 1874",,Anatoecus brevimaculatus,Anatoecus brevimaculatus,Anatoecus
TPT_v1,Animalia,Philopteridae,Species," Giebel, 1874",,Anatoecus brunneiceps,Anatoecus brunneiceps,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies," Eichler, 1946",,Anatoecus icterodes brantae,Anatoecus icterodes brantae,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies, Keler 1960,,Anatoecus icterodes boschadis,Anatoecus icterodes boschadis,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies, Keler 1960,,Anatoecus icterodes catuneanui,Anatoecus icterodes catuneanui,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies, Keler 1960,,Anatoecus icterodes crassus,Anatoecus icterodes crassus,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies," Zlotorzycka, 1970",,Anatoecus icterodes discludus,Anatoecus icterodes discludus,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies," Zlotorzycka, 1970",,Anatoecus icterodes dissensus,Anatoecus icterodes dissensus,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies," Zlotorzycka, 1970",,Anatoecus icterodes eichleri,Anatoecus icterodes eichleri,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies, Keler 1960,,Anatoecus icterodes emersoni,Anatoecus icterodes emersoni,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies, Keler 1961,,Anatoecus icterodes emersonianus,Anatoecus icterodes emersonianus,Anatoecus
TPT_v1,Animalia,Philopteridae,Subspecies, Keler 1960,,Anatoecus icterodes inaequalis,Anatoecus icterodes inaequalis,Anatoecus
